dataset,outcome,androgen,model,n,beta_androgen,se_HC3,ci95_low,ci95_high,p_androgen,r2,q_androgen
AC_platelet,p_lcr,fai,+log_homa_ir+age,887,-0.45274980717254204,0.21475121741588607,-0.8736544589438096,-0.03184515540127453,0.035009147754512714,0.004014944627317996,0.1293863697833148
AC_platelet,pdw,fai,+log_homa_ir+age,888,-0.10666114064293818,0.05273830333244394,-0.21002631578027703,-0.003295965505599338,0.043128789927771596,0.003186294359712849,0.1293863697833148
AC_platelet,mpv,dheas,+log_homa_ir+age,886,-0.0003412024664788586,0.00021697881541407323,-0.0007664731300986065,8.406819714088925e-05,0.1158311369835019,0.0031368201172942145,0.18207953290995543
AC_platelet,pdw,dheas,+log_homa_ir+age,887,-0.0007336577076453553,0.00046849541532469914,-0.0016518918486039002,0.00018457643331318957,0.11735167175050784,0.0026598098996695185,0.18207953290995543
AC_platelet,p_lcr,dheas,+log_homa_ir+age,886,-0.00279132366734259,0.0018020390017394585,-0.00632325520948844,0.0007406078748032601,0.12138635527330362,0.0027213546701511104,0.18207953290995543
AC_platelet,mpv,testosterone,+log_homa_ir+age,888,-0.1467850302855534,0.15597786008343204,-0.4524960184347079,0.15892595786360109,0.34667245245530975,0.0015467139203380054,0.44340136119498863
AC_platelet,pdw,testosterone,+log_homa_ir+age,889,-0.2793225301851623,0.32778820085172816,-0.921775598411731,0.3631305380414064,0.3941345432844343,0.000892820738458755,0.44340136119498863
AC_platelet,p_lcr,testosterone,+log_homa_ir+age,888,-0.9912490507863149,1.309635635331536,-3.5580877289063575,1.5755896273337275,0.4491162542649165,0.0008559662835200266,0.4491162542649165
AC_platelet,mpv,fai,crude,907,-0.048773720190696354,0.02268317056134134,-0.09323191754610458,-0.004315522835288126,0.031538119471240716,0.003926190843071109,0.1819436160152895
AC_platelet,p_lcr,fai,crude,907,-0.3352967218092144,0.18943514110430948,-0.7065827757799241,0.03598933216149541,0.0767301992275567,0.0027107158830562694,0.1819436160152895
AC_platelet,mpv,dheas,crude,906,-0.00034857059807601187,0.00020707728985798108,-0.0007544346282138163,5.7293432061792467e-05,0.09231946350792034,0.0028448417266228043,0.1819436160152895
AC_platelet,p_lcr,dheas,crude,906,-0.0028378365608547774,0.001721332706471672,-0.006211586670950111,0.0005359135492405561,0.09922395649183684,0.002753554784002521,0.1819436160152895
AC_platelet,pdw,dheas,crude,907,-0.0007327284302748354,0.0004468833914176529,-0.001608603782742551,0.00014314692219288025,0.10107978667516083,0.0026406959726904544,0.1819436160152895
AC_platelet,pdw,fai,crude,908,-0.06527435057128894,0.04819259034370234,-0.1597300919666383,0.02918139082406042,0.1755935391921245,0.0014757827721545436,0.26339030878818676
AC_platelet,mpv,testosterone,crude,908,-0.15064602902527402,0.14845947783210514,-0.44162125873982266,0.14032920068927462,0.31023537466179285,0.0011957383272602762,0.3988740531365908
AC_platelet,p_lcr,testosterone,crude,908,-0.9903864710289338,1.246243035528732,-3.4329779366491193,1.4522049945912519,0.4267893719647349,0.0007546462599142822,0.45156217471294025
AC_platelet,pdw,testosterone,crude,909,-0.23614435171997736,0.3136825341951587,-0.8509508213217424,0.3786621178817876,0.45156217471294025,0.0006175882239365382,0.45156217471294025
AC_inflam,rdw,fai,+log_homa_ir,887,-0.07479398249536483,0.02529607743206857,-0.12437338321235568,-0.025214581778373976,0.0031090783192767703,0.028986419300098598,0.027981704873490935
AC_inflam,rdw,dheas,+log_homa_ir,886,-0.0005635073016956469,0.00022778703671517113,-0.0010099616898024853,-0.00011705291358880848,0.013367181456314142,0.028869462198303775,0.04181384538733868
AC_inflam,plr,fai,+log_homa_ir,887,-2.3680877761896015,0.9630841455712178,-4.255698015590719,-0.48047753678848415,0.013937948462446224,0.011015893531191034,0.04181384538733868
AC_inflam,plr,testosterone,+log_homa_ir,888,-13.115724496892451,5.769001001333639,-24.42275868628189,-1.80869030750301,0.02299710202346906,0.01178867464413047,0.05174347955280539
AC_inflam,rdw,testosterone,+log_homa_ir,888,-0.20441715803885604,0.17314336932124244,-0.5437719260704086,0.13493760999269647,0.23775226104124103,0.024246612983994442,0.42795406987423384
AC_inflam,nlr,fai,+log_homa_ir,887,0.01633386458858118,0.016513758811376247,-0.016032507931097235,0.048700237108259596,0.32261108487175105,0.03643511429593871,0.4839166273076266
AC_inflam,nlr,testosterone,+log_homa_ir,888,-0.10055206290303378,0.11620458534861024,-0.3283088650247207,0.12720473921865313,0.38687304020498725,0.03658800481821767,0.4974081945492693
AC_inflam,plr,dheas,+log_homa_ir,886,-0.001898967151338869,0.008404777217418153,-0.018372027795561224,0.014574093492883484,0.821248846659534,0.005742679505775228,0.9239049524919758
AC_inflam,nlr,dheas,+log_homa_ir,886,-2.130056207819025e-06,0.00014307471182927085,-0.00028255133849163676,0.0002782912260759987,0.9881217570871793,0.03548605295126683,0.9881217570871793
AC_inflam,rdw,fai,+log_homa_ir+age,887,-0.07337198927138787,0.02520843782391625,-0.12277961951278098,-0.02396435902999476,0.003607213072833915,0.031491718005831615,0.032464917655505236
AC_inflam,plr,fai,+log_homa_ir+age,887,-2.3868069927305933,0.9678558756041556,-4.283769651140217,-0.4898443343209695,0.013660201347531233,0.011373891826647053,0.04551408750964159
AC_inflam,rdw,dheas,+log_homa_ir+age,886,-0.0005530022473418955,0.0002277357869897342,-0.0009993561878326599,-0.00010664830685113102,0.015171362503213862,0.03143065725309224,0.04551408750964159
AC_inflam,plr,testosterone,+log_homa_ir+age,888,-12.991597213057128,5.7713840813316875,-24.30330215341502,-1.6798922726992345,0.024383214817918167,0.011933333059478635,0.05486223334031588
AC_inflam,rdw,testosterone,+log_homa_ir+age,888,-0.22070683143320835,0.17554063697697603,-0.5647601577313015,0.12334649486488475,0.2086458723985567,0.027265047855750013,0.37556257031740203
AC_inflam,nlr,fai,+log_homa_ir+age,887,0.01684394458750449,0.016530932126375245,-0.015556087011067123,0.0492439761860761,0.30823384736276094,0.03726081297121142,0.460661009297674
AC_inflam,nlr,testosterone,+log_homa_ir+age,888,-0.10605449828757678,0.11544920975196356,-0.33233079144503574,0.12022179486988217,0.3582918961204131,0.03746945607167773,0.460661009297674
AC_inflam,plr,dheas,+log_homa_ir+age,886,-0.0020317725783182126,0.00841931647211653,-0.018533329638111436,0.01446978448147501,0.8093049822786389,0.006081036032726805,0.9104681050634688
AC_inflam,nlr,dheas,+log_homa_ir+age,886,1.4948942031312165e-06,0.00014391761147465978,-0.00028057844102823034,0.00028356822943449283,0.9917124002784212,0.03626631942193592,0.9917124002784212
AC_inflam,nlr,fai,crude,907,0.0583765171415042,0.01423189545915965,0.03048251460981215,0.08627051967319625,4.099325677006288e-05,0.013046726105322537,0.00036893931093056595
AC_inflam,rdw,dheas,crude,906,-0.00034850367381309354,0.0002268621341067286,-0.0007931452861181774,9.613793849199033e-05,0.12449142904345491,0.002523532088823499,0.38355240256194456
AC_inflam,plr,testosterone,crude,908,-8.098792346784858,5.31894271365838,-18.523728501387026,2.3261438078173082,0.1278508008539815,0.002578567048304392,0.38355240256194456
AC_inflam,plr,fai,crude,907,-0.9295539255680123,0.8006457275867728,-2.4987907160139544,0.6396828648779296,0.24563974794947374,0.001062698762232861,0.5145866599626857
AC_inflam,nlr,dheas,crude,906,0.00014876505405324065,0.00013939752354701646,-0.00012444907163298573,0.000421979179739467,0.28588147775704764,0.0012006359153357016,0.5145866599626857
AC_inflam,nlr,testosterone,crude,908,0.056552654552309636,0.11374226520228602,-0.16637808876417443,0.27948339786879367,0.619048019622404,0.0003907119173152118,0.928572029433606
AC_inflam,plr,dheas,crude,906,0.0017095032817387216,0.00810650868943805,-0.01417896178992085,0.017597968353398292,0.8329806481523804,5.111059565687803e-05,0.9466870804213653
AC_inflam,rdw,fai,crude,907,-0.004950577847271924,0.024755903599012287,-0.05347125730608151,0.04357010161153766,0.8414996270412135,3.589508973567135e-05,0.9466870804213653
AC_inflam,rdw,testosterone,crude,908,-0.0017209236174147158,0.17076936032820655,-0.33642271952364267,0.33298087228881323,0.9919594759772411,1.385220771421558e-07,0.9919594759772411
CC_platelet,mpv,fai,+log_homa_ir,885,-0.059747993932003904,0.025529374072289397,-0.10978464766154178,-0.009711340202466029,0.01926502231313653,0.005070196157132889,0.142603084320555
CC_platelet,p_lcr,fai,+log_homa_ir,885,-0.4423997708258533,0.2139055708142791,-0.8616469857143225,-0.023152555937384134,0.038621101949325325,0.0037876873209911066,0.142603084320555
CC_platelet,pdw,fai,+log_homa_ir,885,-0.10404519914336621,0.052508096066422524,-0.20695917633032362,-0.0011312219564087872,0.04753436144018499,0.0030020904379124413,0.142603084320555
CC_platelet,mpv,dheas,+log_homa_ir,885,-0.00035757492652892134,0.00021675144401591862,-0.0007823999503971716,6.725009733932896e-05,0.09900424475125014,0.0033673390600058584,0.1578092023724742
CC_platelet,p_lcr,dheas,+log_homa_ir,885,-0.0029418954277552908,0.001798229995693658,-0.006466361455234477,0.0005825705997238957,0.10184061685848364,0.0029682319025410298,0.1578092023724742
CC_platelet,pdw,dheas,+log_homa_ir,885,-0.000759396595570434,0.00046872811552017997,-0.0016780868205313166,0.00015929362939044874,0.10520613491498279,0.002811788957578165,0.1578092023724742
CC_platelet,mpv,testosterone,+log_homa_ir,885,-0.15793341897868604,0.15947258358037056,-0.47049393931776595,0.15462710136039384,0.3220038541722672,0.001634790336355163,0.4128316816883614
CC_platelet,pdw,testosterone,+log_homa_ir,885,-0.2825383365453615,0.33770785373112533,-0.9444335671546877,0.3793568940639647,0.40279755545658325,0.000843512336591079,0.4128316816883614
CC_platelet,p_lcr,testosterone,+log_homa_ir,885,-1.092005179572782,1.3334688363175524,-3.7055560732617217,1.5215457141161572,0.4128316816883614,0.0009263942283074256,0.4128316816883614
CC_platelet,mpv,fai,+log_homa_ir+age,885,-0.059984507411360154,0.025651920537882983,-0.11026134779989413,-0.009707667022826175,0.01936639374057361,0.00514212561509686,0.1436183250807171
CC_platelet,p_lcr,fai,+log_homa_ir+age,885,-0.4444189518563256,0.21486367458754213,-0.8655440156338422,-0.023293888078808944,0.03860464345309229,0.003864053008373114,0.1436183250807171
CC_platelet,pdw,fai,+log_homa_ir+age,885,-0.10443268139206548,0.052783871863981834,-0.20788716921004696,-0.0009781935740839909,0.04787277502690569,0.0030428500998552765,0.1436183250807171
CC_platelet,mpv,dheas,+log_homa_ir+age,885,-0.0003591542089250704,0.00021688283635034556,-0.0007842367570366421,6.592833918650135e-05,0.09772533725605577,0.0034304375906396567,0.15622974728950037
CC_platelet,p_lcr,dheas,+log_homa_ir+age,885,-0.0029557615793506377,0.001799960318254505,-0.006483618976730721,0.0005720958180294457,0.10056390113205525,0.003039085890593096,0.15622974728950037
CC_platelet,pdw,dheas,+log_homa_ir+age,885,-0.0007620948456936097,0.0004689687196214192,-0.0016812566460274539,0.00015706695464023446,0.1041531648596669,0.0028506752040339256,0.15622974728950037
CC_platelet,mpv,testosterone,+log_homa_ir+age,885,-0.1567499171587927,0.15927483264612521,-0.4689228527888425,0.15542301847125714,0.3250430293751976,0.0016539271093441998,0.41751055374308454
CC_platelet,pdw,testosterone,+log_homa_ir+age,885,-0.28073960249797025,0.3372954187928034,-0.9418264754822194,0.3803472704862789,0.40522520006227813,0.0008528448089526464,0.41751055374308454
CC_platelet,p_lcr,testosterone,+log_homa_ir+age,885,-1.0803780107058996,1.3325698767838898,-3.692166976085301,1.531410954673502,0.41751055374308454,0.0009532991394175516,0.41751055374308454
CC_platelet,mpv,fai,crude,905,-0.048104634320767364,0.022686518853666873,-0.09256939420854335,-0.00363987443299138,0.033971807687070234,0.003818763692712057,0.16045059014466537
CC_platelet,mpv,dheas,crude,905,-0.0003654459790002616,0.0002069333922434318,-0.0007710279749960881,4.0136016995564864e-05,0.0773945449688925,0.003123872356993851,0.16045059014466537
CC_platelet,p_lcr,dheas,crude,905,-0.0029926654218441406,0.0017188538631549093,-0.006361557088315302,0.00037622624462702037,0.08166921622030979,0.0030606809664028845,0.16045059014466537
CC_platelet,p_lcr,fai,crude,905,-0.3292167118487025,0.18946227720075942,-0.7005559515911352,0.042122527893730166,0.08227475048716545,0.0026131691487369935,0.16045059014466537
CC_platelet,pdw,dheas,crude,905,-0.000760263459344775,0.00044722539528034506,-0.0016368091270659406,0.00011628220837639079,0.08913921674703632,0.0028373035965508775,0.16045059014466537
CC_platelet,pdw,fai,crude,905,-0.06391545133145324,0.048223000053573474,-0.15843079466293036,0.030599892000023873,0.18503379402506692,0.0014147879058238333,0.2775506910376004
CC_platelet,mpv,testosterone,crude,905,-0.15948843059582782,0.15123832084558084,-0.45591009253547954,0.13693323134382393,0.29163100205073167,0.001293035361281114,0.37495414549379785
CC_platelet,p_lcr,testosterone,crude,905,-1.068427062222724,1.2656254908235627,-3.549007442152736,1.4121533177072876,0.39856382476416874,0.000847806260269035,0.44838430285968983
CC_platelet,pdw,testosterone,crude,905,-0.23646843704541384,0.3219414037600278,-0.8674619935473362,0.3945251194565085,0.46263937461207005,0.0005965255690670856,0.46263937461207005
CC_inflam,rdw,fai,+log_homa_ir,885,-0.0740537410953134,0.02531895709267904,-0.12367798512307929,-0.024429497067547525,0.003446402522946061,0.02885090704513049,0.03101762270651455
CC_inflam,plr,fai,+log_homa_ir,885,-2.420598752491045,0.9623557911969747,-4.306781443550664,-0.5344160614314264,0.011893631208897613,0.011276994209627578,0.038040407272314274
CC_inflam,rdw,dheas,+log_homa_ir,885,-0.0005489680164539779,0.00022794155864904977,-0.0009957252619860399,-0.00010221077092191586,0.016023854010937755,0.02862827807321533,0.038040407272314274
CC_inflam,plr,testosterone,+log_homa_ir,885,-14.061199136380807,5.886481599863689,-25.598491067771356,-2.523907204990259,0.01690684767658412,0.012461662457846856,0.038040407272314274
CC_inflam,nlr,fai,+log_homa_ir,885,0.01651024625485873,0.01652960230066116,-0.01588717893320756,0.04890767144292502,0.31787753162666754,0.03646542299121103,0.5167871415484461
CC_inflam,rdw,testosterone,+log_homa_ir,885,-0.16907533121084076,0.17886596594337614,-0.5196461825198259,0.18149552009814438,0.34452476103229734,0.023719148187695605,0.5167871415484461
CC_inflam,nlr,testosterone,+log_homa_ir,885,-0.08323417773573931,0.1191141977741104,-0.3166937154203768,0.15022535994889819,0.48469184540821775,0.03639575757793434,0.6231752298105656
CC_inflam,plr,dheas,+log_homa_ir,885,-0.0015350301243268094,0.00842009198203942,-0.018038107155638552,0.014968046906984934,0.8553428852007317,0.005744675157201895,0.9427318255577072
CC_inflam,nlr,dheas,+log_homa_ir,885,1.0262433027681103e-05,0.00014285770072568085,-0.0002697335153088549,0.00029025838136421717,0.9427318255577072,0.03566715817666577,0.9427318255577072
CC_inflam,rdw,fai,+log_homa_ir+age,885,-0.07255951418682338,0.025227270951692228,-0.12200405668037365,-0.023114971693273124,0.004024522636385198,0.03142356161199822,0.03622070372746678
CC_inflam,plr,fai,+log_homa_ir+age,885,-2.441507758082925,0.967212673312981,-4.337209763167072,-0.5458057529987772,0.011593822224608917,0.011692999506379032,0.040879280380687805
CC_inflam,plr,testosterone,+log_homa_ir+age,885,-13.929132413006116,5.890080356680141,-25.473477778146027,-2.3847870478662045,0.018037574255010964,0.012638004050985918,0.040879280380687805
CC_inflam,rdw,dheas,+log_homa_ir+age,885,-0.0005382777201798406,0.0002278747637630003,-0.000984904050140894,-9.165139021878696e-05,0.018168569058083468,0.0312190698751732,0.040879280380687805
CC_inflam,nlr,fai,+log_homa_ir+age,885,0.017046622821922697,0.016547960705619577,-0.015386784178675696,0.04948002982252109,0.30294694017892465,0.03731426869675736,0.46117953950734636
CC_inflam,rdw,testosterone,+log_homa_ir+age,885,-0.18487881126075467,0.1811505634666747,-0.5399273914345744,0.17016976891306507,0.3074530263382309,0.026776811675491508,0.46117953950734636
CC_inflam,nlr,testosterone,+log_homa_ir+age,885,-0.08856500272140849,0.11832968153068531,-0.3204869168236461,0.14335691138082912,0.4541829000415336,0.03728662661247428,0.5839494429105432
CC_inflam,plr,dheas,+log_homa_ir+age,885,-0.001668213103073741,0.008435007557089138,-0.01820052412429164,0.014864097918144156,0.8432230100266572,0.006076748651330788,0.9225152240920441
CC_inflam,nlr,dheas,+log_homa_ir+age,885,1.3977753805218608e-05,0.00014370659969076868,-0.0002676820059294029,0.00029563751353984006,0.9225152240920441,0.03646844214984102,0.9225152240920441
CC_inflam,nlr,fai,crude,905,0.05856292553032857,0.014248300765547717,0.03063676918896056,0.08648908187169657,3.953694769389499e-05,0.013119718327772478,0.0003558325292450549
CC_inflam,plr,testosterone,crude,905,-8.733446372767903,5.421054033185857,-19.358517036057787,1.8916242905219818,0.10717456311271764,0.0028924282286123537,0.4227809059798031
CC_inflam,rdw,dheas,crude,905,-0.00033424919578515475,0.00022701781804459274,-0.0007791959430014238,0.00011069755143111425,0.14092696865993437,0.002318229222458834,0.4227809059798031
CC_inflam,plr,fai,crude,905,-0.9665513914381363,0.7994696033246365,-2.533483020688947,0.6003802378126746,0.2266663817521375,0.0011501065932973953,0.4467760988811725
CC_inflam,nlr,dheas,crude,905,0.00016074606764927195,0.00013920896116393733,-0.0001120984825572803,0.0004335906178558242,0.24820894382287362,0.0014010629652438933,0.4467760988811725
CC_inflam,nlr,testosterone,crude,905,0.07816178336739732,0.11571837974529946,-0.1486420732827189,0.30496564001751353,0.4993909849569095,0.0007198980318658954,0.7490864774353643
CC_inflam,plr,dheas,crude,905,0.002058899141256566,0.008120107658334472,-0.013856219419666874,0.017974017702180003,0.7998388664570946,7.397011474830073e-05,0.8619056818915911
CC_inflam,rdw,testosterone,crude,905,0.038066668498868736,0.17517104118499516,-0.30526226335810425,0.38139560035584175,0.827965654330281,6.53447201613977e-05,0.8619056818915911
CC_inflam,rdw,fai,crude,905,-0.0043132275735279285,0.02479595715146446,-0.05291241055259666,0.044285955405540804,0.8619056818915911,2.7234689278787805e-05,0.8619056818915911
